transaction_id,timestamp,amount,merchant_id,user_id,latitude,longitude,hour,day_of_week,transaction_type,is_fraud,amount_log,is_weekend,is_night
TXN00004673,2025-12-30 06:22:06.689964,125.90429403373291,M6916,U15843,-61.75950750469505,8.205029663401405,6,1,in-store,0,4.84343321208113,0,1
TXN00003269,2025-12-15 10:22:56.689964,88.73851518157731,M7622,U86775,-13.333359715546152,-169.2876216896226,10,0,online,0,4.496900054629556,0,0
TXN00005830,2025-12-22 10:43:43.689964,96.89973353744057,M6728,U68370,73.09888008389572,179.49602302187765,10,0,online,0,4.583943827749723,0,0
TXN00000159,2025-12-23 12:49:03.689964,20.910671680049166,M8146,U17013,-4.3107850925127735,121.78074450694123,12,1,in-store,0,3.086973809461038,0,0
TXN00008775,2026-01-12 00:13:05.689964,92.83110789104579,M4052,U84633,-75.81393914137888,-179.336045909433,0,0,in-store,0,4.541496441661067,0,1
TXN00003672,2026-01-07 10:23:51.689964,80.68490439891204,M4928,U97896,2.011292769192252,-104.25933352179683,10,2,online,0,4.402869216114954,0,0
TXN00004064,2025-12-31 09:53:25.689964,54.7774989019729,M4321,U86047,52.4136037021855,109.43790881178285,9,2,in-store,0,4.021370542577585,0,0
TXN00008528,2026-01-06 16:09:56.689964,106.67975803607959,M7174,U88415,81.74557279546289,138.56186691066875,16,1,atm,0,4.679161618829253,0,0
TXN00001294,2026-01-03 22:42:59.689964,115.04414743448325,M2676,U88135,-64.97385141269204,122.70539865210674,22,5,online,0,4.753970700035412,1,1
TXN00005751,2025-12-24 03:19:37.689964,57.77334368353556,M6827,U95556,-89.44004202781629,62.40354017302073,3,2,online,0,4.073688413400138,0,1
TXN00001664,2025-12-26 00:22:37.689964,39.21981680466185,M6705,U31294,-20.395343158999978,177.91351629204536,0,4,in-store,0,3.6943598295022544,0,1
TXN00004244,2025-12-26 04:05:10.689964,47.709950189172844,M6486,U55014,79.44862499586526,-80.51615733760292,4,4,in-store,0,3.885883325218315,0,1
TXN00004877,2026-01-01 05:30:23.689964,97.48365321069838,M9584,U98181,-46.1824334982355,44.693144233139606,5,3,in-store,0,4.589890577153821,0,1
TXN00003620,2025-12-27 19:20:31.689964,182.53176426691894,M6057,U64545,28.221661973597264,-149.26167017285215,19,5,in-store,0,5.212387754786193,1,0
